Runtime,Enabled AI Count,Disabled AI Count
0.016667,172,0
0.416667,0,172
0.75575,0,172
1.09027,0,172
1.425837,0,172
1.761095,0,172
2.096766,0,172
2.433856,0,172
2.772774,0,172
3.106113,0,172
3.439446,0,172
3.46904,0,172
3.506436,0,172
3.549171,0,172
3.593209,0,172
3.63486,0,172
3.675426,0,172
3.715724,0,172
3.755771,0,172
3.795461,0,172
3.823298,0,172
3.852152,0,172
3.876414,0,172
3.904202,0,172
3.930535,0,172
3.955115,0,172
3.97953,0,172
4.004199,0,172
4.028052,0,172
4.052147,0,172
4.0766,0,172
4.102921,0,172
4.128466,0,172
4.151963,0,172
4.176804,0,172
4.200826,0,172
4.225425,0,172
4.248993,0,172
4.273633,0,172
4.299062,0,172
4.325909,0,172
4.351916,0,172
4.380189,0,172
4.40672,0,172
4.43265,0,172
4.460546,0,172
4.485048,0,172
4.508253,0,172
4.538693,0,172
4.565334,0,172
4.590993,0,172
4.615706,0,172
4.643188,0,172
4.667494,0,172
4.693042,0,172
4.718689,0,172
4.747874,0,172
4.77514,0,172
4.799169,0,172
4.826881,0,172
4.853811,0,172
4.880019,0,172
4.90454,0,172
4.929603,0,172
4.956616,0,172
4.982725,0,172
5.007076,0,172
5.031451,0,172
5.05504,0,172
5.079674,0,172
5.103902,0,172
5.128106,0,172
5.15253,0,172
5.180968,0,172
5.20616,0,172
5.229471,0,172
5.256772,0,172
5.282668,0,172
5.30893,0,172
5.332292,0,172
5.357243,0,172
5.384696,0,172
5.417076,0,172
5.450487,0,172
5.480467,0,172
5.505754,0,172
5.530436,0,172
5.553866,0,172
5.578227,0,172
5.605282,0,172
5.631115,0,172
5.653853,0,172
5.679901,0,172
5.704361,0,172
5.728223,0,172
5.751473,0,172
5.776216,0,172
5.799001,0,172
5.826175,0,172
5.852271,0,172
5.875764,0,172
5.900396,0,172
5.925446,0,172
5.950091,0,172
5.974207,0,172
5.998778,0,172
6.025516,0,172
6.053061,0,172
6.079191,0,172
6.103874,0,172
6.130384,0,172
6.154913,0,172
6.180278,0,172
6.205386,0,172
6.230656,0,172
6.256901,0,172
6.282828,0,172
6.306948,0,172
6.331822,0,172
6.356904,0,172
6.381987,0,172
6.409676,0,172
6.435896,0,172
6.463843,0,172
6.490054,0,172
6.515299,0,172
6.541186,0,172
6.566281,0,172
6.591321,0,172
6.615896,0,172
6.641407,0,172
6.667059,0,172
6.693185,0,172
6.718505,0,172
6.743362,0,172
6.768494,0,172
6.792377,0,172
6.816779,0,172
6.841177,0,172
6.86745,0,172
6.895082,0,172
6.921033,0,172
6.945048,0,172
6.969309,0,172
6.99345,0,172
7.017919,0,172
7.041634,0,172
7.066073,0,172
7.090111,0,172
7.119396,0,172
7.145108,0,172
7.170271,0,172
7.196024,0,172
7.219842,0,172
7.243236,0,172
7.267413,0,172
7.290991,0,172
7.316636,0,172
7.341089,0,172
7.364852,0,172
7.38846,0,172
7.414093,0,172
7.438503,0,172
7.46262,0,172
7.487017,0,172
7.511106,0,172
7.537969,0,172
7.563015,0,172
7.588201,0,172
7.613081,0,172
7.638367,0,172
7.662807,0,172
7.688891,0,172
7.713856,0,172
7.742486,0,172
7.768229,0,172
7.793678,0,172
7.817693,0,172
7.844968,0,172
7.869546,0,172
7.893841,0,172
7.919,0,172
7.946757,0,172
7.97171,0,172
7.997053,0,172
8.021691,0,172
8.046292,0,172
8.07125,0,172
8.096328,0,172
8.121489,0,172
8.147869,0,172
8.172943,0,172
8.199996,0,172
8.225259,0,172
8.249438,0,172
8.273866,0,172
8.297985,0,172
8.321871,0,172
8.34781,0,172
8.372861,0,172
8.396901,0,172
8.421249,0,172
8.447308,0,172
8.472213,0,172
8.496949,0,172
8.520473,0,172
8.545697,0,172
8.5724,0,172
8.597378,0,172
8.622785,0,172
8.6457,0,172
8.671417,0,172
8.696639,0,172
8.721581,0,172
8.749125,0,172
8.776699,0,172
8.80233,0,172
8.827402,0,172
8.852235,0,172
8.876927,0,172
8.900702,0,172
8.926359,0,172
8.951191,0,172
8.979641,0,172
9.005332,0,172
9.031543,0,172
9.056083,0,172
9.081456,0,172
9.106128,0,172
9.131116,0,172
9.156964,0,172
9.184668,0,172
9.208892,0,172
9.23329,0,172
9.257244,0,172
9.281867,0,172
9.30444,0,172
9.329763,0,172
9.353568,0,172
9.380287,0,172
9.408391,0,172
9.435884,0,172
9.460906,0,172
9.485692,0,172
9.512625,0,172
9.539204,0,172
9.562994,0,172
9.588121,0,172
9.616431,0,172
9.642529,0,172
9.666672,0,172
9.691821,0,172
9.718562,0,172
9.744024,0,172
9.768904,0,172
9.796493,0,172
9.825283,0,172
9.852227,0,172
9.878334,0,172
9.90356,0,172
9.928371,0,172
9.954215,0,172
9.979808,0,172
10.005298,0,172
10.033483,0,172
10.059995,0,172
10.083503,0,172
10.108455,0,172
10.132471,0,172
10.158266,0,172
10.183921,0,172
10.208598,0,172
10.235467,0,172
10.262165,0,172
10.28824,0,172
10.312675,0,172
10.337317,0,172
10.361902,0,172
10.38625,0,172
10.410429,0,172
10.437387,0,172
10.464746,0,172
10.490207,0,172
10.513854,0,172
10.53805,0,172
10.562718,0,172
10.587092,0,172
10.611406,0,172
10.640483,0,172
10.66676,0,172
10.69208,0,172
10.719437,0,172
10.744254,0,172
10.770471,0,172
10.795999,0,172
10.820431,0,172
10.847034,0,172
10.873938,0,172
10.899156,0,172
10.923308,0,172
10.949276,0,172
10.973246,0,172
10.997219,0,172
11.02152,0,172
11.047473,0,172
11.073431,0,172
11.09798,0,172
11.122833,0,172
11.148619,0,172
11.172785,0,172
11.197415,0,172
11.222673,0,172
11.248384,0,172
11.274081,1,171
11.297057,1,171
11.321091,1,171
11.345088,1,171
11.369265,1,171
11.393881,1,171
11.418859,1,171
11.44313,1,171
11.471269,1,171
11.496628,1,171
11.520568,1,171
11.544828,1,171
11.56887,1,171
11.593454,1,171
11.61752,1,171
11.643004,1,171
11.668392,1,171
11.695446,1,171
11.721626,1,171
11.746744,1,171
11.771099,1,171
11.795717,1,171
11.820027,1,171
11.844508,1,171
11.869103,1,171
11.89584,1,171
11.922288,1,171
11.948433,2,170
11.97373,2,170
11.998591,3,169
12.024058,3,169
12.048783,3,169
12.07465,3,169
12.102654,3,169
12.129984,3,169
12.155479,3,169
12.181088,3,169
12.206632,4,168
12.231883,4,168
12.256445,4,168
12.282792,4,168
12.310725,4,168
12.337055,4,168
12.361281,4,168
12.386555,4,168
12.410557,4,168
12.436213,4,168
12.461527,4,168
12.486757,4,168
12.513568,4,168
12.540034,4,168
12.565532,4,168
12.592308,4,168
12.61722,4,168
12.643789,4,168
12.670897,4,168
12.697715,4,168
12.726139,4,168
12.754213,4,168
12.780245,4,168
12.806828,4,168
12.833575,4,168
12.86117,4,168
12.888332,4,168
12.915187,4,168
12.944777,4,168
12.97456,4,168
13.001366,4,168
13.028918,4,168
13.056909,4,168
13.087505,4,168
13.114298,4,168
13.142399,4,168
13.17312,4,168
13.203615,4,168
13.233366,4,168
13.263762,4,168
13.292357,4,168
13.321345,4,168
13.351374,4,168
13.38631,4,168
13.420285,4,168
13.450881,4,168
13.478784,4,168
13.50958,4,168
13.536999,4,168
13.569651,4,168
13.601604,4,168
13.637605,4,168
13.671824,4,168
13.705362,4,168
13.74112,4,168
13.775682,4,168
13.814015,4,168
13.849218,4,168
13.882101,4,168
13.912065,4,168
13.9439,4,168
13.974516,4,168
14.00739,4,168
14.040186,4,168
14.074267,4,168
14.111979,4,168
14.146868,4,168
14.182223,4,168
14.217982,4,168
14.256992,4,168
14.292847,4,168
14.327266,4,168
14.361009,4,168
14.395683,4,168
14.430993,4,168
14.470013,4,168
14.505825,4,168
14.5417,4,168
14.577001,4,168
14.611707,4,168
14.647218,4,168
14.684052,4,168
14.719822,4,168
14.761758,4,168
14.799313,4,168
14.837193,4,168
14.874221,4,168
14.911879,4,168
14.951858,4,168
14.98926,4,168
15.024611,4,168
15.061002,4,168
15.097781,4,168
15.140601,4,168
15.180596,4,168
15.219677,4,168
15.262938,4,168
15.299595,4,168
15.340363,4,168
15.380159,4,168
15.417251,4,168
15.457396,4,168
15.496627,4,168
15.532862,4,168
15.571203,4,168
15.610778,4,168
15.648034,4,168
15.687103,4,168
15.722603,4,168
15.760386,4,168
15.800144,4,168
15.840173,4,168
15.876661,4,168
15.915604,4,168
15.954378,4,168
15.993754,4,168
16.034918,4,168
16.073404,4,168
16.111448,4,168
16.149006,4,168
16.184927,4,168
16.222179,4,168
16.26409,4,168
16.306219,4,168
16.343872,4,168
16.381321,4,168
16.419771,4,168
16.456871,4,168
16.495138,4,168
16.533646,4,168
16.570795,4,168
16.605543,4,168
16.642248,4,168
16.678267,4,168
16.717836,4,168
16.756132,4,168
16.791874,4,168
16.828838,4,168
16.864975,4,168
16.902403,5,167
16.941086,5,167
16.977991,5,167
17.014803,5,167
17.050283,5,167
17.087116,5,167
17.12509,5,167
17.164131,5,167
17.201235,5,167
17.238596,5,167
17.275196,5,167
17.313398,5,167
17.348837,5,167
17.388163,5,167
17.42625,5,167
17.463482,5,167
17.49872,5,167
17.536079,5,167
17.571632,5,167
17.610689,5,167
17.648792,5,167
17.686186,5,167
17.722998,5,167
17.761753,5,167
17.798943,5,167
17.838894,5,167
17.87521,5,167
17.91247,5,167
17.950432,5,167
17.987326,5,167
18.023106,5,167
18.063011,5,167
18.10265,5,167
18.1399,5,167
18.177284,5,167
18.216242,5,167
18.253656,5,167
18.294617,5,167
18.333029,5,167
18.369493,5,167
18.406261,5,167
18.443621,5,167
18.480114,5,167
18.518789,5,167
18.555183,5,167
18.592573,5,167
18.629997,5,167
18.66824,5,167
18.703629,5,167
18.743839,5,167
18.781166,5,167
18.817801,5,167
18.856218,5,167
18.893312,5,167
18.93445,5,167
18.974398,5,167
19.012403,5,167
19.050039,5,167
19.086765,5,167
19.124992,5,167
19.164057,5,167
19.206041,5,167
19.246662,5,167
19.28574,5,167
19.325153,5,167
19.364092,5,167
19.405293,5,167
19.445427,5,167
19.483629,5,167
19.522017,5,167
19.560341,5,167
19.597725,5,167
19.638027,5,167
19.676331,5,167
19.713446,5,167
19.753159,5,167
19.791914,5,167
19.829939,5,167
19.86945,5,167
19.90996,5,167
19.946386,5,167
19.985334,5,167
20.024073,5,167
20.062801,5,167
20.104843,5,167
20.142742,5,167
20.18009,5,167
20.218224,5,167
20.256203,5,167
20.294914,5,167
20.335537,5,167
20.373764,5,167
20.411066,5,167
20.446751,5,167
20.483368,5,167
20.521717,5,167
20.559734,5,167
20.598875,5,167
20.635122,5,167
20.670511,5,167
20.705551,5,167
20.742819,5,167
20.781485,5,167
20.819906,5,167
20.856943,5,167
20.892506,5,167
20.929445,5,167
20.967077,5,167
21.008335,5,167
21.049398,5,167
21.086382,5,167
21.125536,5,167
21.163534,5,167
21.20204,5,167
21.24371,5,167
21.282099,5,167
21.320501,5,167
21.358248,5,167
21.395243,5,167
21.434576,5,167
21.476332,5,167
21.515011,5,167
21.551592,5,167
21.588024,5,167
21.625111,5,167
21.662643,5,167
21.703957,5,167
21.743107,5,167
21.781839,5,167
21.818886,5,167
21.860117,5,167
21.902588,5,167
21.944267,5,167
21.987455,5,167
22.026035,5,167
22.063747,5,167
22.101103,5,167
22.140297,5,167
22.180267,5,167
22.220442,5,167
22.256535,5,167
22.29425,5,167
22.329975,5,167
22.366104,5,167
22.404537,5,167
22.441542,5,167
22.478098,5,167
22.515947,5,167
22.552752,5,167
22.590075,5,167
22.629625,5,167
22.667868,5,167
22.7047,5,167
22.742735,5,167
22.780579,5,167
22.817598,5,167
22.857296,5,167
22.896477,5,167
22.933184,5,167
22.97098,5,167
23.013329,5,167
23.052401,5,167
23.093554,5,167
23.131639,5,167
23.171181,5,167
23.211029,4,168
23.248331,4,168
23.286716,4,168
23.328884,4,168
23.369482,4,168
23.407082,4,168
23.447302,4,168
23.48542,4,168
23.523754,4,168
23.564901,4,168
23.604141,4,168
23.64222,4,168
23.681768,4,168
23.720884,4,168
23.760033,4,168
23.800001,4,168
23.840225,4,168
23.879183,4,168
23.915514,4,168
23.952122,4,168
23.989744,4,168
24.029013,4,168
24.067736,4,168
24.104494,4,168
24.141249,4,168
24.178467,4,168
24.215576,4,168
24.256172,4,168
24.295338,4,168
24.332825,4,168
24.371431,4,168
24.408001,4,168
24.444231,4,168
24.484486,4,168
24.52314,4,168
24.559147,4,168
24.596245,4,168
24.634222,4,168
24.671631,4,168
24.711664,4,168
24.749773,4,168
24.78714,4,168
24.824396,4,168
24.860802,4,168
24.89687,4,168
24.938143,4,168
24.977381,4,168
25.014181,4,168
25.051142,4,168
25.089045,4,168
25.125982,4,168
25.16596,4,168
25.202948,4,168
25.239094,4,168
25.275389,4,168
25.311338,4,168
25.347479,4,168
25.38699,4,168
25.423855,4,168
25.461004,4,168
25.498501,4,168
25.534559,4,168
25.570805,4,168
25.609797,4,168
25.645864,4,168
25.681669,4,168
25.716614,4,168
25.751749,4,168
25.787682,4,168
25.827784,4,168
25.864502,4,168
25.901026,4,168
25.937647,4,168
25.971828,4,168
26.007448,4,168
26.048759,4,168
26.085819,4,168
26.124344,4,168
26.16128,4,168
26.197828,4,168
26.234989,4,168
26.251656,4,168
26.284803,4,168
26.319929,4,168
26.353857,4,168
26.388554,4,168
26.427052,4,168
26.46644,4,168
26.504435,4,168
26.539879,4,168
26.575558,4,168
26.610428,4,168
26.646145,4,168
26.68129,4,168
26.718493,4,168
26.75412,4,168
26.788992,4,168
26.824326,4,168
26.858648,4,168
26.894644,4,168
26.930496,4,168
26.966515,4,168
27.000572,4,168
27.035954,4,168
27.071384,4,168
27.105988,4,168
27.144876,4,168
27.180267,4,168
27.215757,4,168
27.251472,4,168
27.286997,4,168
27.322367,4,168
27.359539,4,168
27.395908,4,168
27.430576,4,168
27.465685,4,168
27.503695,4,168
27.539118,4,168
27.57896,4,168
27.614424,4,168
27.650146,5,167
27.686983,5,167
27.721394,5,167
27.75639,5,167
27.795076,5,167
27.830992,5,167
27.865679,5,167
27.900888,5,167
27.937441,5,167
27.974203,5,167
28.013174,5,167
28.049328,5,167
28.087761,5,167
28.126575,5,167
28.16246,5,167
28.200272,5,167
28.238304,5,167
28.280548,5,167
28.316296,5,167
28.354189,5,167
28.389273,5,167
28.425022,5,167
28.463388,4,167
28.505222,4,167
28.540417,4,167
28.576817,4,167
28.613178,4,167
28.649641,4,167
28.687786,4,167
28.725513,4,167
28.762007,4,167
28.798334,4,167
28.834101,4,167
28.871677,4,167
28.910421,4,167
28.947285,4,167
28.982704,4,167
29.019728,4,167
29.055756,4,167
29.092054,4,167
29.13022,4,167
29.167208,4,167
29.203236,4,167
29.239143,3,167
29.28294,3,167
29.31953,3,167
29.357016,3,167
29.39348,3,167
29.42889,3,167
29.465269,3,167
29.502754,3,167
29.53974,3,167
29.577557,3,167
29.615389,3,167
29.650326,3,167
29.685936,3,167
29.722902,3,167
29.75786,3,167
29.796883,3,167
29.832541,3,167
29.866724,3,167
29.901482,3,167
29.936392,3,167
29.973076,3,167
30.012648,2,167
30.052505,2,167
30.087719,2,167
30.123549,2,167
30.159485,2,167
30.196272,2,167
30.234589,2,167
30.271379,2,167
30.312916,2,167
30.348555,2,167
30.385832,2,167
30.423016,2,167
30.461248,2,167
30.498472,2,167
30.534515,2,167
30.5723,2,167
30.608047,2,167
30.644131,2,167
30.682043,2,167
30.719757,2,167
30.755709,2,167
30.790838,2,167
30.827599,2,167
30.863789,2,167
30.90184,2,167
30.939426,2,167
30.975471,2,167
31.012123,2,167
31.047249,2,167
31.083439,2,167
31.120657,2,167
31.157688,1,167
31.195713,1,167
31.231647,1,167
31.271357,1,167
31.316029,1,167
31.353771,1,167
31.391043,1,167
31.427532,1,167
31.464064,1,167
31.501493,1,167
31.536606,1,167
31.574694,1,167
31.611206,2,167
31.652946,2,167
31.688555,2,167
31.724041,2,167
31.761133,2,167
31.798277,2,167
31.835415,2,167
31.871513,2,167
31.906612,2,167
31.943823,2,167
31.979723,2,167
32.018761,2,167
32.056435,2,167
32.091507,2,167
32.127316,2,167
32.163136,2,167
32.198814,2,167
32.241383,2,167
32.279945,2,167
32.325546,2,167
32.359547,1,167
32.395962,1,167
32.43372,1,167
32.470062,1,167
32.507763,1,167
32.543591,1,167
32.579205,1,167
32.613628,1,167
32.649475,1,167
32.689629,1,167
32.729725,1,167
32.769802,1,167
32.807209,1,167
32.843761,1,167
32.878975,1,167
32.917904,1,167
32.955082,1,167
32.990921,1,167
33.02734,1,167
33.06385,1,167
33.099739,1,167
33.139072,1,167
33.17564,1,167
33.212372,1,167
33.2472,1,167
33.284039,1,167
33.325825,1,167
33.364914,1,167
33.400616,1,167
33.435726,1,167
33.472553,1,167
33.507973,1,167
33.543316,1,167
33.581444,1,167
33.617508,1,167
33.653812,1,167
33.692604,1,167
33.729107,1,167
33.765152,1,167
33.804798,1,167
33.842182,1,167
33.879051,1,167
33.915276,1,167
33.951099,1,167
33.988781,1,167
34.028736,1,167
34.065845,1,167
34.103336,1,167
34.13982,1,167
34.177837,1,167
34.21484,1,167
34.255466,1,167
34.293064,1,167
34.331547,1,167
34.369148,1,167
34.405079,1,167
34.44091,1,167
34.482655,1,167
34.520454,1,167
34.558701,1,167
34.594231,1,167
34.630066,1,167
34.667507,1,167
34.706566,1,167
34.743473,1,167
34.778397,1,167
34.813698,1,167
34.848427,1,167
34.883373,1,167
34.922588,1,167
34.958286,1,167
34.996071,1,167
35.0317,1,167
35.066746,1,167
35.101414,1,167
35.141445,1,167
35.177212,1,167
35.212967,1,167
35.249134,1,167
35.286045,1,167
35.32634,1,167
35.370663,1,167
35.407642,1,167
35.447311,1,167
35.483173,1,167
35.525288,1,167
35.565025,1,167
35.605461,1,167
35.64616,1,167
35.686855,1,167
35.725018,1,167
35.762493,1,167
35.804241,1,167
35.850307,1,167
35.888302,1,167
35.925755,1,167
35.964294,1,167
36.002697,1,167
36.040619,1,167
36.079487,1,167
36.115643,1,167
36.15295,1,167
36.193039,1,167
36.233459,1,167
36.270184,1,167
36.312435,1,167
36.349789,1,167
36.386234,1,167
36.422901,1,167
36.459888,1,167
36.49865,1,167
36.541096,1,167
36.5812,1,167
36.61927,1,167
36.656395,1,167
36.693138,1,167
36.730064,1,167
36.76931,1,167
36.806965,1,167
36.847012,1,167
36.882721,1,167
36.9188,1,167
36.954945,1,167
36.994999,1,167
37.03281,1,167
37.068985,1,167
37.10474,1,167
37.140888,1,167
37.176426,1,167
37.216324,1,167
37.252213,1,167
37.28949,1,167
37.32687,1,167
37.364674,1,167
37.401035,1,167
37.44278,1,167
37.480305,1,167
37.518764,1,167
37.555122,1,167
37.591164,1,167
37.62804,1,167
37.668671,1,167
37.70525,1,167
37.740349,1,167
37.775246,1,167
37.811672,1,167
37.847401,1,167
37.888203,1,167
37.926529,1,167
37.962414,1,167
37.996662,1,167
38.033855,1,167
38.069679,1,167
38.107506,1,167
38.144032,1,167
38.180145,1,167
38.215073,1,167
38.249805,1,167
38.285637,1,167
38.323952,1,167
38.359844,1,167
38.396412,1,167
38.437866,1,167
38.473198,1,167
38.507385,1,167
38.546791,1,167
38.582008,1,167
38.618828,1,167
38.654247,1,167
38.688759,1,167
38.723804,1,167
38.761734,1,167
38.800617,1,167
38.836552,1,167
38.871868,1,167
38.907284,1,167
38.943153,1,167
38.982155,1,167
39.018639,1,167
39.055187,1,167
39.090549,1,167
39.126209,1,167
39.160435,1,167
39.198647,1,167
39.236759,1,167
39.272148,1,167
39.307579,1,167
39.342793,1,167
39.377953,1,167
39.416595,1,167
39.45256,1,167
39.487686,1,167
39.5224,1,167
39.557858,1,167
39.592972,1,167
39.634789,1,167
39.676174,1,167
39.711788,1,167
39.746578,1,167
39.783394,1,167
39.819752,1,167
39.859215,1,167
39.89579,1,167
39.932167,0,167
39.973061,0,167
40.010372,0,167
40.045742,0,167
40.08474,0,167
40.120106,0,167
40.156624,0,167
40.191742,0,167
40.22723,0,167
40.262978,0,167
40.300949,0,167
40.338585,0,167
40.376053,0,167
40.411743,0,167
40.44838,0,167
40.493584,0,167
40.532913,0,167
40.568317,0,167
40.603218,0,167
40.638054,0,167
40.673893,0,167
40.709763,0,167
40.747337,0,167
40.783741,0,167
40.819126,0,167
40.855167,0,167
40.88884,0,167
40.924469,1,167
40.967724,1,167
41.00462,1,167
41.040386,1,167
41.07793,1,167
41.112431,1,167
41.150047,1,167
41.187836,1,167
41.223572,1,167
41.258541,1,167
41.295204,1,167
41.331287,1,167
41.366711,1,167
41.405334,1,167
41.441101,1,167
41.476498,1,167
41.518673,1,167
41.554157,1,167
41.591316,1,167
41.629902,1,167
41.666649,1,167
41.70406,1,167
41.741238,1,167
41.778263,1,167
41.815239,1,167
41.852554,1,167
41.888577,1,167
41.925194,1,167
41.96006,1,167
41.994244,1,167
42.02948,1,167
42.06699,1,167
42.104488,1,167
42.141544,1,167
42.17868,1,167
42.215378,1,167
42.251137,1,167
42.289288,1,167
42.325813,1,167
42.361778,1,167
42.398781,4,167
42.445801,4,167
42.482609,4,167
42.525543,4,167
42.562862,4,167
42.599751,4,167
42.63625,4,167
42.673145,4,167
42.709335,4,167
42.74976,4,167
42.786434,4,167
42.822819,4,167
42.858551,4,167
42.897194,4,167
42.933239,4,167
42.970638,4,167
43.007278,4,167
43.04351,4,167
43.079712,4,167
43.115257,4,167
43.151672,4,167
43.190079,4,167
43.226589,4,167
43.261181,4,167
43.297115,4,167
43.331894,4,167
43.36684,4,167
43.404915,4,167
43.441032,4,167
43.475811,4,167
43.512806,4,167
43.54771,4,167
43.583744,4,167
43.622124,4,167
43.658508,4,167
43.693867,4,167
43.72934,4,167
43.764679,4,167
43.800549,4,167
43.837555,4,167
43.874065,4,167
43.908443,4,167
43.945023,4,167
43.979301,4,167
44.014534,4,167
44.052608,4,167
44.088528,4,167
44.125244,4,167
44.160645,4,167
44.196198,4,167
44.231468,4,167
44.269829,4,167
44.311962,4,167
44.347298,4,167
44.382263,4,167
44.417336,4,167
44.452381,4,167
44.489967,4,167
44.526901,4,167
44.562996,4,167
44.60067,4,167
44.635773,4,167
44.671944,4,167
44.709808,4,167
44.746822,4,167
44.781334,4,167
44.816956,4,167
44.851852,4,167
44.88673,4,167
44.926403,4,167
44.9632,4,167
44.998981,4,167
45.037014,4,167
45.072002,4,167
45.107162,4,167
45.145157,4,167
45.181828,4,167
45.216305,4,167
45.251701,4,167
45.288582,4,167
45.323547,4,167
45.360798,4,167
45.398262,4,167
45.433018,4,167
45.468479,4,167
45.504856,4,167
45.542866,4,167
45.586834,4,167
45.624729,4,167
45.66058,4,167
45.696911,4,167
45.732639,4,167
45.768551,4,167
45.807766,4,167
45.843952,4,167
45.878277,4,167
45.913662,4,167
45.949772,4,167
45.986664,4,167
46.026123,4,167
46.062366,4,167
46.097603,4,167
46.134182,4,167
46.170273,4,167
46.206432,4,167
46.244537,4,167
46.280548,4,167
46.316338,4,167
46.352356,4,167
46.38662,4,167
46.424183,4,167
46.462734,4,167
46.499783,4,167
46.536213,4,167
46.572067,4,167
46.606777,3,167
46.648346,3,167
46.686878,3,167
46.72308,3,167
46.758175,3,167
46.794899,3,167
46.830345,3,167
46.86684,3,167
46.905838,3,167
46.944546,3,167
46.979843,3,167
47.016068,3,167
47.052757,3,167
47.089508,3,167
47.127201,3,167
47.165543,3,167
47.200375,3,167
47.236397,3,167
47.271542,3,167
47.309246,3,167
47.347279,3,167
47.384892,3,167
47.421864,3,167
47.457737,3,167
47.49342,3,167
47.529583,3,167
